519   2015/09/10  37882         
520   2015/09/11  38518         
521   2015/09/12  32205         
522   2015/09/13  40350         
523   2015/09/14  16262         
524   2015/09/15  20470         
525   2015/09/16  45085         
526   2015/09/17  33180         
527   2015/09/18  31747         
528   2015/09/19  39778         
529   2015/09/20  65535         
530   2015/09/21  59563         
531   2015/09/22  82378         
532   2015/09/23  42946         
533   2015/09/24  46527         
534   2015/09/25  41322         
535   2015/09/26  41039         
536   2015/09/27  30532         
537   2015/09/28  35355         
538   2015/09/29  40135         
539   2015/09/30  43080         
540   2015/10/01  41189         
541   2015/10/02  35561         
542   2015/10/03  49494         
543   2015/10/04  33909         
544   2015/10/05  32712         
545   2015/10/06  39541         
546   2015/10/07  38773         
547   2015/10/08  35461         
548   2015/10/09  30426         
549   2015/10/10  29433         
550   2015/10/11  27940         
551   2015/10/12  34146         
552   2015/10/13  31813         
553   2015/10/14  28030         
554   2015/10/15  37296         
555   2015/10/16  36070         
556   2015/10/17  31701         
557   2015/10/18  25220         
558   2015/10/19  35703         
559   2015/10/20  42914         
560   2015/10/21  38896         
561   2015/10/22  44027         
562   2015/10/23  37326         
563   2015/10/24  36013         
564   2015/10/25  30139         
565   2015/10/26  37096         
566   2015/10/27  50484         
567   2015/10/28  45782         
568   2015/10/29  45960         
569   2015/10/30  32577         
570   2015/10/31  35257         
571   2015/11/01  31402         
572   2015/11/02  35962         
573   2015/11/03  42652         
574   2015/11/04  54768         
575   2015/11/05  51405         
576   2015/11/06  43351         
577   2015/11/07  36433         
578   2015/11/08  39567         
579   2015/11/09  45103         
580   2015/11/10  43853         
581   2015/11/11  34774         
582   2015/11/12  38371         
583   2015/11/13  35364         
584   2015/11/14  30226         
585   2015/11/15  32216         
586   2015/11/16  35757         
587   2015/11/17  36957         
588   2015/11/18  40387         
589   2015/11/19  32915         
590   2015/11/20  33652         
591   2015/11/21  25295         
592   2015/11/22  17983         
593   2015/11/23  21268         
594   2015/11/24  20427         
595   2015/11/25  27288         
596   2015/11/26  24681         
597   2015/11/27  25861         
598   2015/11/28  25749         
599   2015/11/29  24219         
600   2015/11/30  26261         
601   2015/12/01  25143         
602   2015/12/02  23887         
603   2015/12/03  23460         
604   2015/12/04  22066         
605   2015/12/05  22531         
606   2015/12/06  22728         
607   2015/12/07  25413         
608   2015/12/08  24716         
609   2015/12/09  33862         
610   2015/12/10  25232         
611   2015/12/11  26210         
612   2015/12/12  23062         
613   2015/12/13  21459         
614   2015/12/14  32070         
615   2015/12/15  28842         
616   2015/12/16  27652         
617   2015/12/17  23729         
618   2015/12/18  24189         
619   2015/12/19  21372         
620   2015/12/20  19855         
621   2015/12/21  24803         
622   2015/12/22  25707         
623   2015/12/23  26011         
624   2015/12/24  23679         
625   2015/12/25  21240         
626   2015/12/26  21795         
627   2015/12/27  32284         
628   2015/12/28  31890         
629   2015/12/29  24417         
630   2015/12/30  26654         
631   2015/12/31  24012         
632   2016/01/01  20122         
633   2016/01/02  19715         
634   2016/01/03  19638         
635   2016/01/04  23308         
636   2016/01/05  27207         
637   2016/01/06  24615         
638   2016/01/07  24700         
639   2016/01/08  26040         
